,name,idx,lat,lon,url
2843,"Land Environment and Resources Bureau, Qiongzhongxian",5256,19.0408,109.8372,http://aqicn.org/city/china/qiongzhongxian/guotuhuanjingziyuanjuzhan/
2844,"Volcanoes Geological Park Station , Haikou",5257,19.9328,110.2224,http://aqicn.org/city/china/haikou/huoshanqundizhigongyuanzhan/
2845,"Haitang Bay sub-station , Sanya",4481,,,
2846,"Industrial Park, northeast corner of the plant boundary station , Dongfang",4482,19.0673,108.6468,http://aqicn.org/city/china/dongfang/gongyeyuandongbeijiaochangjiezhan/
2847,"Industrial Park police station, Dongfang",4483,19.043571,108.64684,http://aqicn.org/city/china/dongfang/gongyeyuanpaichusuozhan/
2848,"Lùhuítóuzi Staiton, Sanya",4859,,,
2849,"Bó'áo guó Guest House Station , Qionghai",4860,19.140793,110.553,http://aqicn.org/city/china/qionghai/boaoguobinguanzhan/
2850,"Land Environment and Resources Bureau , Changjiangxian",5258,19.276,109.0605,http://aqicn.org/city/china/changjiangxian/guotuhuanjingziyuanju-/
2851,"Middle school, Wanning",5259,18.7983,110.3933,http://aqicn.org/city/china/wanning/zhongxuezizhan/
2852,"Qiongnan radio and television transmitting station, Wuzhishan",7017,18.7652,109.5306,http://aqicn.org/city/china/wuzhishan/qiongnanguangbodianshifashezhan/
2853,"haigui middle school, Qionghai",7018,19.26529,110.46556,http://aqicn.org/city/china/qionghai/haiguixuexiao/
2854,"Water Company station, Dinganxian",7019,19.683826,110.34419,http://aqicn.org/city/china/dinganxian/zilaishuigongsizhan/
2855,"Yalong Bay, Sanya",7086,18.224495,109.62038,http://aqicn.org/city/china/sanya/yalongwan-/
2856,"Institute of Forestry sub-station, Wuzhishan",7087,18.7653,109.5306,http://aqicn.org/city/china/wuzhishan/linkesuozizhan/
2857,"City Qiongnan radio and television transmitting station, Wuzhishan",7088,18.78102,109.5071,http://aqicn.org/city/china/wuzhishan/shiqiongnanguangbodianshifashetai/
2858,"shì běi shī dà wàn níng fùzhōng, Wanning",7089,18.8297,110.3979,http://aqicn.org/city/china/wanning/shibeishidawanningfuzhong/
2859,"chāngjiāng bàwáng lǐng yǎ jiā shānzhuāng, Changjiangxian",7090,19.085833,109.1225,http://aqicn.org/city/china/changjiangxian/changjiangbawanglingyajiashanzhuang/
2860,"Huǒshān kǒu, Haikou",8630,19.9328,110.2224,http://aqicn.org/city/china/haikou/huoshankou/
2861,"Haitang Bay, Sanya",8631,18.29029,109.71186,http://aqicn.org/city/china/sanya/haitangwan/
2862,"lù huítóu, Sanya",8632,18.219168,109.49364,http://aqicn.org/city/china/sanya/luhuitou/
2863,"hé qìng middle school, Danzhou",8633,19.52841,109.63583,http://aqicn.org/city/china/danzhou/heqingzhongxue/
2864,"hóngqí zhōng xuézǐ station, Tunchangxian",8634,19.37706,110.1108,http://aqicn.org/city/china/tunchangxian/hongqizhongxuezizhan/
2865,"Commission compound, Chengmaixian",8635,19.74111,110.0023,http://aqicn.org/city/china/chengmaixian/weidayuan/
2866,"Changjiang Bawangling, Changjiangxian",8636,19.085833,109.1225,http://aqicn.org/city/china/changjiangxian/changjiangbawangling/
2867,"xúnhuán jīngjì yuánqū zi zhàn, Changjiangxian",8637,19.241667,108.96528,http://aqicn.org/city/china/changjiangxian/xunhuanjingjiyuanquzizhan/
2868,"Changjiang pawn Bay, Changjiangxian",8638,19.34972,108.68472,http://aqicn.org/city/china/changjiangxian/changjiangqiziwan/
2869,"Lingshui nursing home, Lingshuixian",8639,18.5064,110.0083,http://aqicn.org/city/china/lingshuixian/lingshuijinglaoyuan/
2870,"Lingshui Tufu Bay, Lingshuixian",8640,18.403055,109.818054,http://aqicn.org/city/china/lingshuixian/lingshuitufuwan/
2871,Wenchang,7884,19.543279,110.79776,http://aqicn.org/city/wenchang/
2872,Wanning,7885,18.795143,110.391073,http://aqicn.org/city/wanning/
2873,Dinganxian,7886,19.681434,110.358891,http://aqicn.org/city/dinganxian/
2874,"Jinyun Mountain, Chongqing",1345,29.8272,106.379,http://aqicn.org/city/china/zhongqing/jinyunshan/
2875,"Gaojia Garden, Chongqing",1346,29.5736,106.46,http://aqicn.org/city/china/zhongqing/gaojiahuayuan/
2876,"Tiansheng, Chongqing",1347,29.8264,106.424,http://aqicn.org/city/china/zhongqing/tiansheng/
2877,"Liǎng lù, Chongqing",1348,29.7228,106.626,http://aqicn.org/city/china/zhongqing/lianglu/
